,text,sentiment
0,jasif ราคาตอนนี้ 9.70 - 9.75 ต่อหุ้น กำหนด xd วันที่ 24-02-2021 และ จ่ายปันผล .25 บาท ต่อหุ้น แต่จ่ายปันผลวันที่เท่าไร ยังไม่แจ้ง,
1,ซื้อหุ้น OR ผ่าน ธ กสิกร โดยฝากหุ้นไว้ใน Port ของ SCB ไปตรวจสอบที่ Web กสิกรแจ้งว่าได้รับการจัดสรรหุ้นเรียบร้อย แต่หุ้นไม่เข้า Port โทรไป Call Center SCBS มา 3 วันยังติดต่อผู้คนไม่ได้ Inbox ในเพจ face,
2,ซื้อหุ้นใน streaming ไม่ได้ ไม่ได้ซื้อขายมาเกิน 6 เดือน หลักทรัพย์บัวหลวง ซื้อหุ้นใน streaming ไม่ได้ ไม่ได้ซื้อขายมาเกิน 6 เดือน โอนเงินเข้าพอต กดซื้อขึ้น X cancel โทรหาเจ้าหน้าที่ตั้งแต่ 10.00 ปัจจุ,positive
3,หุ้นคนแก่ ขวัญใจ ชาว สว,positive
4,ส่วนผมได้แต่มอง เพราะราคาหุ้นวิ่งมาไกล .. มาก.. คงต้องรอ หุ้นยางขึ้นๆลงๆ จาก 2 หลัก มาเป็น 1หลัก หลายครั้งแล้ว เข็ด เจ็บแล้วต้องจำ สรุปว่า ก็ขอยินดีกับผู้ถือหุ้นด้วย ขอให้รวยๆยิ่งๆขึ้นไป ผมไปหาตัวอื่น,negative
5,สวัสดีค่ะ เราได้รับความเดือดร้อนจาก SCBs คือเราซื้อหุ้น OR เแล้วขายหุ้นไป ไม่มีเงินเข้าพอร์ตเลย พอร์ตก็หายด้วย ติดต่อ scbs จนเหนื่อย ไปที่ธนาคารให้คำตอบไม่ได้ ต้องทำยังไงหรอ เงินก็หายอย่างนี้หรอ ในเมื,negative
6,ต้องการตามเรื่องการย้ายหุ้นออกจากบัญชีผู้ออกหลักทรัพย์ เข้าพอร์ต ติดต่อ Ks customer Service 02-7960011 คือว่าต้องการโทรไปสอบถามรายละเอียดการดำเนินการ รอไป25นาที ยังติดต่อไม่ได้ รอบนี้เป็นรอบที่3แล้วที,negative
7,ก็หาสมบัติ สักชิ้นปั่นมันไป สัก3 ล้านๆ แล้วลดสัดส่วนผู้ถือหุ้นออก แค่นี้ก็ได้เงินมาแจกชาวบ้านแล้ว แถมคนที่มีของส่วนใหญ่ยังสรรเสริญ อีกด้วย หึๆๆๆ เอะๆๆๆ ฉลาดฝุดๆ ใครคิดฟะเอา รางวัลไปเล่อะ งานนี้,positive
8,"[K-POP] มูลค่าตลาดของ 4 ค่ายเพลงยักษ์ใหญ่ของเกาหลีใต้ Big Hit, JYP, YG, SM ณ วันที่ 16 กุมภาพันธ์ 2021 1.Big Hit ราคาหุ้นอยู่ที่ 248,000 วอน มูลค่าอยู่ที่ 8.83 ล้านล้านวอน( 239,600 ล้านบาท ) เพิ่มขึ้น",
9,ผมเลือกเปิดพอร์ตหุ้น และกองทุนกับ SCBS เหตุผล เพราะใช้แอป SCB สะดวก และพนักงานที่ SCB สาขาเดอะมอลล์บางกะปิ ให้บริการดีมาก แต่มาเสียตรง SCBS เอง ซึ่งเป็นนิติบุคคลแยกจาก SCB ช่วงแรก ๆ มีปัญหา ก็โทรติดบ้,negative
10,80 บาทต่อหุ้น มีสิทธิ์ถึงมั้ย ปี ๒ ปีนี้,
